[ 2024-10-19 18:34:22,832 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2024-10-19 18:34:22,832 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2024-10-19 18:34:37,077 ] 19 root - INFO - Initiate the data ingestion
[ 2024-10-19 18:34:40,460 ] 63 root - INFO - Performed train test split on the dataframe
[ 2024-10-19 18:34:40,460 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-19 18:34:40,460 ] 73 root - INFO - Exporting train and test file path.
[ 2024-10-19 18:34:40,568 ] 82 root - INFO - Exported train and test file path.
[ 2024-10-19 18:34:40,569 ] 21 root - INFO - Data Initiation Completed
[ 2024-10-19 18:34:40,582 ] 25 root - INFO - Initiate the data Validation
[ 2024-10-19 18:34:40,655 ] 32 root - INFO - Required number of columns:2
[ 2024-10-19 18:34:40,655 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-19 18:34:40,655 ] 32 root - INFO - Required number of columns:2
[ 2024-10-19 18:34:40,655 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-19 18:34:40,905 ] 27 root - INFO - data Validation Completed
[ 2024-10-19 18:34:40,906 ] 30 root - INFO - data Transformation started
[ 2024-10-19 18:34:40,906 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-19 18:34:40,906 ] 65 root - INFO - Starting data transformation
[ 2024-10-19 18:34:40,950 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-19 18:34:40,950 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-19 18:34:40,973 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-19 18:34:40,978 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-19 18:34:40,978 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-19 18:34:40,982 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-19 18:34:40,984 ] 34 root - INFO - data Transformation completed
[ 2024-10-19 18:34:40,984 ] 36 root - INFO - Model Training sstared
