[ 2024-10-19 18:45:00,918 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2024-10-19 18:45:00,919 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2024-10-19 18:45:08,394 ] 19 root - INFO - Initiate the data ingestion
[ 2024-10-19 18:45:11,811 ] 63 root - INFO - Performed train test split on the dataframe
[ 2024-10-19 18:45:11,811 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-19 18:45:11,812 ] 73 root - INFO - Exporting train and test file path.
[ 2024-10-19 18:45:11,950 ] 82 root - INFO - Exported train and test file path.
[ 2024-10-19 18:45:11,951 ] 21 root - INFO - Data Initiation Completed
[ 2024-10-19 18:45:11,962 ] 25 root - INFO - Initiate the data Validation
[ 2024-10-19 18:45:12,039 ] 32 root - INFO - Required number of columns:2
[ 2024-10-19 18:45:12,039 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-19 18:45:12,039 ] 32 root - INFO - Required number of columns:2
[ 2024-10-19 18:45:12,039 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-19 18:45:12,276 ] 27 root - INFO - data Validation Completed
[ 2024-10-19 18:45:12,277 ] 30 root - INFO - data Transformation started
[ 2024-10-19 18:45:12,277 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-19 18:45:12,277 ] 65 root - INFO - Starting data transformation
[ 2024-10-19 18:45:12,412 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-19 18:45:12,412 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-19 18:45:12,441 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-19 18:45:12,445 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-19 18:45:12,445 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-19 18:45:12,448 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-19 18:45:12,449 ] 34 root - INFO - data Transformation completed
[ 2024-10-19 18:45:12,449 ] 36 root - INFO - Model Training sstared
