[ 2024-10-19 18:15:19,934 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2024-10-19 18:15:19,935 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2024-10-19 18:15:25,260 ] 19 root - INFO - Initiate the data ingestion
[ 2024-10-19 18:15:28,556 ] 63 root - INFO - Performed train test split on the dataframe
[ 2024-10-19 18:15:28,557 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-19 18:15:28,557 ] 73 root - INFO - Exporting train and test file path.
[ 2024-10-19 18:15:28,659 ] 82 root - INFO - Exported train and test file path.
[ 2024-10-19 18:15:28,660 ] 21 root - INFO - Data Initiation Completed
[ 2024-10-19 18:15:28,672 ] 25 root - INFO - Initiate the data Validation
[ 2024-10-19 18:15:28,770 ] 32 root - INFO - Required number of columns:2
[ 2024-10-19 18:15:28,770 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-19 18:15:28,770 ] 32 root - INFO - Required number of columns:2
[ 2024-10-19 18:15:28,771 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-19 18:15:29,018 ] 27 root - INFO - data Validation Completed
[ 2024-10-19 18:15:29,018 ] 30 root - INFO - data Transformation started
[ 2024-10-19 18:15:29,019 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-19 18:15:29,019 ] 65 root - INFO - Starting data transformation
[ 2024-10-19 18:15:29,338 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-19 18:15:29,338 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-19 18:15:29,388 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-19 18:15:29,413 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-19 18:15:29,414 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-19 18:15:29,419 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-19 18:15:29,423 ] 34 root - INFO - data Transformation completed
